ï»¿Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Employees,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
Cbq Tecnologies,1716 Montana Ave,El Paso,TX,79902,United States,(614) 426-1111,http://cbqtechnologies.com/,info@cbqtechnologies.com,Catch-all,Machining manufacturer,"Since 2004, CBQ Technologies has operated as a full service turnkey precision machining and metal fabrication center. 

CBQ stands out for client-centric service, high quality and ultra-competitive pricing.

EXPERTISE:
 â Precision machining of complex components and assemblies
 â Providing third party logistics 
 â Testing Fixtures


SPECIALIZED SERVICES: 
 â Machining of aluminum, stainless steel and Peak 1000, colled rolled, special steels and others.",44,https://www.linkedin.com/company/cbq-technologies,https://www.facebook.com/cbqtechnologies-1547449792170464,,,,31.7741532,-106.475397,Alejandra,Matlock,Sales Representative,alejandra@cbqtechnologies.com
J & A Machinery Inc,3136 Federal Ave,El Paso,TX,79930,United States,(915) 565-2868,https://www.champdrillgrinder.com/,andymazo@sbcglobal.net,Catch-all,Machine shop,J & A Machinery is an American based company that specializes in the manufacture and sale of industrial drill grinders. Our company is family owned and operated. We began production in the late 70s. It is a point of pride for us to make each machine by hand here in the United States.,<25,,,https://wix.com,,,31.7909901,-106.4567634,,,,
"Vargas Manufacturing, Inc.",1001 Wall St,El Paso,TX,79915,United States,(915) 775-0186,https://www.vargasmfg.com/,vargasmfg@msn.com,Valid,Machining manufacturer,"Vargas Manufacturing Inc. specializes in precision CNC machining and screw machining, offering services for both small and medium lot productions. With over 35 years of experience, they cater to various industries, including healthcare, electronics, mechanical, and automotive, using advanced machinery and technology to maintain high-quality standards.",2,https://www.linkedin.com/company/vargas-manufacturing-inc.,,,,,31.7724072,-106.3924198,,,,
B&l Precision,344 N Zaragoza Rd,El Paso,TX,79907,United States,(915) 892-2243,https://bnlprecision.com/about-us,marco.baeza@bnlprecision.com,Unknown,Machine shop,,,,,,,,31.7004681,-106.3223114,,,,
Filvar Manufacturing,12309 Rojas Dr,El Paso,TX,79928,United States,(915) 497-8010,https://filvar.com/,efi@filvar.com,Valid,Machine shop,"Contract manufacturer of high quality machined parts for the medical, electrical, electronic, pneumatic and electro domestic industry. 
We have citizen and star cnc high precision swiss screw machines with diameter capacity from .040 inch to 1.00 inch.",3,,https://www.facebook.com/Filvar-Manufacturing-Inc-101217121662382,,,,31.7045689,-106.2787933,,,,
G & C Mold Corporation,11430 Cedar Oak Dr,El Paso,TX,79936,United States,(915) 590-6670,http://gncmold.com/,customerservice@gncmoldcorp.com,Valid,Machine shop,Repair and Fabrication of Plastic Injection Molds and Dies Mold Maintenance Mold Engineering Changes Precision Tooling Industrial Fixtures Precision Gauges Cutting Dies Forming Dies Micro Welding Laser Welding G&C MOLD can accomplish its repair and fabrication using the following software: Feature Cam Catia Import Auto Cad Solid Works Pro/Engineer Wildfire 2.,4,https://www.linkedin.com/company/g&c-mold-company,,,,,31.74967,-106.3115616,,,,
Inter-precision Mold Inc.,Stone Castle Dr,El Paso,TX,79936,United States,(915) 595-3433,https://inter915.com/,ipm@inter915.com,Catch-all,Machine shop,"Inter-Precision Mold Inc. specializes in high-precision CNC machining and fabrication services, focusing on delivering precision machined parts and molds for various industries including medical, automotive, aerospace, and consumer sectors. The company prides itself on fast turnaround times, tight tolerances, and exceptional customer service.",8,https://www.linkedin.com/company/ipm915,,,,,31.7230892,-106.3136673,,,,
Jl. Industrial Machine Shop,10261 N Loop Dr,Socorro,TX,79927,United States,(915) 859-4189,http://www.jlinds.com/,industrialmachine@windstream.net,Valid,Machine shop,Industrial machine shop needs in El Paso Texas,,,https://www.facebook.com/JLIndustrialMachineShop1,,,,31.6658707,-106.2781143,,,,
"Magnum Precision Machines, Inc.",12025 Rojas Dr,El Paso,TX,79936,United States,(915) 856-7900,https://magnumprecisionmachines.com/,,,Machine shop,"Magnum Precision Machines specializes in the sale, service, and solutions for machine tools, catering to manufacturers, research labs, educational institutions, and job shops. With locations in Phoenix, Albuquerque, and El Paso, they serve customers across Arizona, New Mexico, West Texas, Southern Nevada, and Northern Mexico.",19,https://www.linkedin.com/company/magnum-precision-machines-inc,https://www.facebook.com/magnumprecisionmachine,https://www.x.com/MagnumMachines,https://www.instagram.com/magnum_precision_machines_inc,,31.7270508,-106.2986298,Richard,Salas,Metal Cutting and Metal Fabrication Sales and Service Support,rsalas@magnumprecisionmachines.com
Mfg Oregon,,El Paso,TX,79932,United States,(915) 226-0410,http://www.mfgoregon.com/,sales@mfgoregon.com,Catch-all,Machine shop,MGF Oregon â Manufacturing Beyond,,,https://www.facebook.com/MFG-Oregon-2065025933791256,,,,31.8808804,-106.6080856,,,,
