ï»¿Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Employees,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
Abe Precision,10 Mclaren E,Irvine,CA,92618,United States,(949) 916-0220,https://www.abeprecision.com/,info@abeprecision.com,Valid,"Machine shop, Machining manufacturer, Manufacturer, Metal finisher",ABE PRECISION INC | Manufacturing and deburring services,,,https://www.facebook.com/abeprecision,,,,33.6343018,-117.7180887,,,,
Addtac Manufacturing,9721 Irvine Center Dr,Irvine,CA,92618,United States,(949) 418-9017,https://www.addtacmfg.com/,osxbntt@yahoo.com,Catch-all,"Machine shop, Manufacturer, Mold maker, 3D printing service","ADDTAC is a leading manufacturing company based in Irvine, CA and established in 2019. We specialize in metal 3D printing and CNC services, providing cutting-edge solutions to meet the manufacturing needs of our clients. With a passion for innovation and advanced technology, ADDTAC has become a trusted name in the industry.",1,https://www.linkedin.com/company/addtac-manufacturing,,,https://www.instagram.com/addtacmfg,,33.6330411,-117.7308644,,,,
Barrot Corporation,1881 Kaiser Ave,Irvine,CA,92614,United States,(949) 852-1640,http://www.barrotcorporation.com/cncturning.html,info@barrotcorp.com,Valid,Machine shop,Welcome to Barrot Corp,,,,,,,33.692981,-117.847107,,,,
Camtech Corporation,8750 Research Dr,Irvine,CA,92618,United States,(949) 263-8911,https://www.camtechcorp.com/,tcrawford@camtechcorp.com,Valid,"Manufacturer, Machine shop","Camtech, founded in 1982, is located in Irvine, California. We are a state-of-the-art, AS9100 Registered, critical component manufacturer specializing in complex 3,4 and 5 axis machining of critical components for:

 Aerospace Products 
 Medical Products 
 Complex Industrial Products 
 Assembly 

Working in stainless steel, cobalt and titanium alloys, as well as all the aircraft grade aluminum alloys, gives us a diverse view of many different programs.",16,https://www.linkedin.com/company/camtech-llc,,,,,33.6434555,-117.739624,Debbie,Brooks,Human Resources Manager,dbrooks@camtechcorp.com
"Complete Grinding Solutions, Llc",18 Technology Dr Suite 125,Irvine,CA,92618,United States,,https://www.completegrindingsolutions.com/,info@cgs-us.com,Valid,Machine shop,"Complete Grinding Solutions is a machinery company based out of 219 S Pioneer Blvd # A, Springboro, Ohio, United States.",4,https://www.linkedin.com/company/complete-grinding-solutions,,,,,33.6527314,-117.7374942,,,,
Connelly Machine Works,420 Terminal St,Santa Ana,CA,92701,United States,(714) 558-6855,https://www.connellymachine.com/,aurora@connellymachine.com,Valid,Machine shop,"Connelly Machine Works, Inc. is a certified and ITAR registered company established in 1946, specializing in maintenance and manufacturing support across various sectors including aerospace, medical systems, and industrial engineering. The company is known for its outstanding workmanship and responsiveness, equipped with a comprehensive range of standard and specialized tools to meet diverse customer needs.",31,https://www.linkedin.com/company/connelly-machine-works,,,,,33.7488011,-117.8549592,Bryan,Coronado,Aerospace Account Manager,bryan@connellymachine.com
Ctc Global,17842 Cowan,Irvine,CA,92614,United States,(949) 428-8500,https://ctcglobal.com/,careers@ctcglobal.com,Valid,Machine shop,"Founded in 2003 and headquartered in Irvine, California, CTC Global Corporation is a company that developed ISO certified manufacturing techniques and tooling to allow the continuous production of the pultruded composite core.",500,https://www.linkedin.com/company/ctc-global,https://www.facebook.com/CtcGlobal,https://x.com/CTC_ACCC,,https://www.youtube.com/@ctcglobal,33.6948907,-117.864172,Gus,Hurtado,"Director, Planning and Logistics Operations",ghurtado@ctcglobal.com
Dk Precision Machining Inc.,1946 Blair Ave,Santa Ana,CA,92705,United States,(949) 633-4899,https://www.dkprecisionmachining.com/,dkprecisionmachining@gmail.com,Valid,Machine shop,Home | Mysite,,,https://www.facebook.com/dkprecisionmachining,https://wix.com,https://www.instagram.com/dk_precision_machining,,33.7049073,-117.8477416,,,,
Fitness Machine Technicians,2323 Main St Unit D12,Irvine,CA,92614,United States,(877) 368-3247,https://fitnessmachinetechnicians.com/orange-county/,web@fitnessmachinetechnicians.com,Valid,Repair service,"Fitness Machine Technicians specializes in the repair and preventive maintenance of fitness equipment, serving both residential and commercial clients. Their services include treadmill, elliptical, exercise bike, and cable machine repairs, as well as assembly and commercial installations.",16,https://www.linkedin.com/company/10380393,https://www.facebook.com/fitnessmachinetechnicians,,,,33.68428,-117.8459147,D'shone,Swiney,Business Owner at Fitness Machine,dswiney@fitnessmachinetechnicians.com
"General Tool, Inc.",2025 Alton Pkwy,Irvine,CA,92606,United States,(949) 261-2322,http://www.gtdiamond.com/,info@gtdiamond.com,Catch-all,"Manufacturer, Construction material wholesaler, Tool manufacturer","General Tool is a privately-owned diamond tool manufacturing company headquartered in Irvine, California. Since the company was established in 1984, our goal has been to provide high-quality diamond tools and the best customer service in the industry.",94,https://www.linkedin.com/company/general-tool,,,,,33.6954817,-117.8407686,Jae,Kim,Sales Representative,jae.kim@gtdiamond.com
