ï»¿Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Employees,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
Adc Enterprises Inc,625 W Katella Ave Unit 11,Orange,CA,92867,United States,(714) 639-3054,https://www.automateddrillingco.com/,info@automateddrillingco.com,Valid,Machine shop,Automated Drilling Co specializes in precision machining and drilling of Aerospace Fluid Fittings,,https://www.linkedin.com/company/wix-com,https://www.facebook.com/wix,https://x.com/Wix,,,33.809805,-117.8594399,,,,
Advanced Ceramic Technology,803 W Angus Ave,Orange,CA,92868,United States,(714) 538-2524,https://www.advancedceramictech.com/,sales@advancedceramictech.com,Valid,Machine shop,"Advanced Ceramic Technology specializes in precision ceramic machining and manufacturing of industrial ceramic parts with over 35 years of experience. The company is dedicated to quality craftsmanship and customer service, ensuring products are made to exact specifications.",19,https://www.linkedin.com/company/advanced-ceramic-technology,,,,,33.7990656,-117.8607491,Kurtis,Roberts,Engineer,kurtis@advancedceramictech.com
Advanced Waterjet & Laser,1410 N Manzanita St,Orange,CA,92867,United States,(714) 278-9874,https://www.advancedwj.com/,chris@advancedwj.com,Valid,"Water jet cutting service, Glass cutting service, Laser cutting service, Metal fabricator, Tile store","Advanced Waterjet & Laser specializes in material fabrication utilizing waterjet and laser technologies. AWL has provided unmatched quality, precision, and perfection to customers for projects of all sizes for over a decade. From prototyping to full production runs, AWL has continuously proven that smaller really is better when it comes to time-critical applications and specializes in working side by side with industry leaders to meet demanding deadlines.",7,https://www.linkedin.com/company/advancedwj,https://www.facebook.com/advancedwj,,https://www.instagram.com/advancedwj,,33.8109576,-117.8588399,Chris,Savalia,,chris@advancedwj.com
All Diameter Grinding Inc,725 N Main St,Orange,CA,92868,United States,(714) 744-1200,http://www.alldiametergrinding.com/,info@alldiametergrinding.com,Valid,Machine shop,All Diameter Grinding: precision centerless grinding,1,https://www.linkedin.com/company/all-diameter-grinding-inc,,,,,33.799251,-117.865856,,,,
American Wire Edm,1310 W Collins Ave,Orange,CA,92867,United States,(714) 524-3360,https://www.americanwireedm.com/,greg@americanwireedm.com,Valid,Machine shop,"For over 30 years, American Wire EDM has been the industry leader in this highly specialized field. Experts in both wire EDM machining and EDM hole drilling, our speed, efficiency and accuracy are unsurpassed in the industry.

Our advanced CNC-operated production equipment and team of highly experienced technicians guarantee that all of our precision parts and component manufacture is exactly to customer specification.",3,https://www.linkedin.com/company/prototype-and-shortrun-services-inc-,https://www.facebook.com/prototypeshortrunservice,,,,33.8014444,-117.8671409,Greg,Bartlett,Production Operations Manager at American,greg@americanwireedm.com
Apm Manufacturing,1738 N Neville St,Orange,CA,92865,United States,(714) 453-0100,https://www.anaheimprecision.com/,info@anaheimprecision.com,Valid,"Machine shop, Aerospace company, Engineering consultant, Powder coating service, Screen printing shop, Sharpening service","Anaheim Precision Manufacturing is a vertically integrated metal fabrication facility based in Southern California, specializing in aerospace manufacturing. The company offers a wide range of services including design and engineering consulting, CNC machining, welding, sheet metal fabrication, and quality testing.",95,https://www.linkedin.com/company/apm-manufacting-inc,https://www.facebook.com/anaheim-precision-manufacturing-334289393280067,,,,33.8164821,-117.8577917,Matt,Mcginn,Vp of Engineering and Business Development,mcginn_matt@anaheimprecision.com
Bep Performance Center,538 N Cypress St,Orange,CA,92867,United States,(714) 666-1663,https://www.bepperformance.com/,sales@bepperformance.com,Catch-all,"Auto machine shop, Engine rebuilding service, Racing car parts store",Under Construction,,,,,,,33.7959914,-117.8568772,,,,
Ccl Machine,1225 W Barkley Ave,Orange,CA,92868,United States,(657) 223-6673,https://www.onewaymfg.com/,cbriseno@onewaymfg.com,Valid,Machine shop,"Founded in 1976, One-Way Manufacturing, Inc. has acquired the reputation of providing much needed competitive mandrel pipe and tube bending, rolling, and coiling services for the aerospace industry. Since then, One-Way Manufacturing has grown into a premier tube/pipe forming and complete assembly specialist in the aerospace industry and has expanded to serve many other industries.",<25,https://www.linkedin.com/company/one-way-mfg-inc,https://www.facebook.com/onewayalternator,,,,33.8015385,-117.8655902,Ike,Huang,Operations,ihuang@onewaymfg.com
Century Industries Inc,1130 W Grove Ave,Orange,CA,92865,United States,(714) 637-3691,http://centuryindustriesinc.com/,centuryindustries@yahoo.com,Catch-all,Machine shop,"Century Industries, Inc. is a custom manufacturer of whatever you want.",,,,,,,33.8187501,-117.8645407,,,,
Coastal Enterprises,1925 W Collins Ave,Orange,CA,92867,United States,(800) 845-0745,https://www.precisionboard.com/,info@precisionboard.com,Unknown,Manufacturer,"Since 1973, weve pioneered Precision Board HDU, specializing in high-density urethane materials for signage, tooling, and beyond, trusted globally by Aerospace, Composites, and Sign Making industries. Our customizable services, including bonding, cutting, and rapid turnaround, ensure seamless integration for unmatched precision and reliability.",21,https://www.linkedin.com/company/coastal-enterprises-company,https://www.facebook.com/coastalenterprisescompany,https://www.x.com/precisionboard,http://www.instagram.com/coastalenterprises,https://www.youtube.com/channel/UCy-S06N1_6XaB0bupU_Irhg,33.8028187,-117.8735411,Chip,Going,Coastal Enterprises,cgoing@precisionboard.com
Diaz Machine Shop,1240 W Collins Ave,Orange,CA,92867,United States,(951) 987-9896,https://www.diazmachineshop.com/,diazmachineshop@gmail.com,Valid,"Machine shop, Metal fabricator, Welder","*Our current available services include CNC Machining,  Welding, Plasma Cutting, 3D Graphic Design, Reverse Engineering and 3D Printing . We specialize in remanufacturing discontinued parts and part reconstruction. 






Welcome to Diaz Machine Shop",1,,,,,https://www.youtube.com/channel/UCWdgBufI5QZTPIb-lGivf1Q,33.802171,-117.866163,,,,
