ï»¿Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Employees,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
"Ads Precision Machining, Inc.",3851 E 37th St,Tucson,AZ,85713,United States,(520) 748-0005,,,,Machine shop,,,,,,,,32.1918801,-110.9100434,,,,
Arcal Precision Components,532 W Lester St #150,Tucson,AZ,85705,United States,(520) 884-1843,http://arcalprecision.com/,frontdesk@arcalprecision.com,Catch-all,Machine shop,"Arcal Precision Components INC was founded in 1975 and is a veteran , minority owned business located in a HUB zone. APCI is successful for one reason: We consistently meet our customers expectations for quality product. At APCI, we know quality begins when our customers drawing and Specs come through our door.",8,https://www.linkedin.com/company/arcal-precision-components-inc,https://www.facebook.com/arcalprecision,,,,32.2442065,-110.9801959,Gus,Gonzalez,President,gus@arcalprecision.com
Arizona Precision Industries,3203 E Lincoln St,Tucson,AZ,85714,United States,(520) 746-1833,https://www.arizonaprecisionindustries.com/,dave@arizonaprecisionindustries.com,Valid,Machine shop,"To compete in this global market where so many companies look to go over seas, we must look to find new ways to be competitive. Here at Arizona Precision Industries we strive to run faster and more efficiently than ever before. Thus passing the savings on to our customers.",<25,https://www.linkedin.com/company/arizona-precision-industries-inc.,https://www.facebook.com/arizona-precision-industries-207159395997207,,,,32.176095,-110.9241999,,,,
Baker's Auto Machine Llc,2520 N Coyote Dr #103,Tucson,AZ,85745,United States,(520) 746-3434,https://www.bakersautomachine.com/,hallbaker@comcast.net,Unknown,"Auto machine shop, Engine rebuilding service","At Bakers Auto Machine, we pride ourselves on being Tucsons premier full-service auto machine shop, offering expert services for all your automotive needs.. Schedule an appointment today.",,,,,,,32.2532615,-111.0041046,,,,
Ballistic Fabrication,2010 W Mcmillan St,Tucson,AZ,85705,United States,(520) 888-4441,https://www.ballisticfabrication.com/,support@ballisticfabrication.com,Valid,Machine shop,Ballistic Fabrication is an automotive company based out of United States.,5,https://www.linkedin.com/company/ballistic-fabrication,https://facebook.com,https://x.com,https://instagram.com,,32.2792134,-111.0095773,Noah,Jeppson,Sales Manager,noah@ballisticfabrication.com
"Becksted Machine, Inc.",1070 E 20th St,Tucson,AZ,85719,United States,(520) 624-5721,,,,"Machine shop, Industrial equipment supplier, Machine repair service, Metal fabricator, Metal supplier, Mining equipment, Steel fabricator",,,,,,,,32.20928,-110.9537062,,,,
Desert Precision Manufacturing,4095 N Hwy Dr,Tucson,AZ,85705,United States,(520) 887-4433,https://www.desertprecision.com/,hr@desertprecision.com,Unknown,Sheet metal contractor,"Desert Precision Manufacturing specializes in custom precision sheet metal fabrication, serving a diverse range of industries including aerospace, medical, and electronics. With a 17,000 square foot facility and advanced machinery, they offer services such as CNC laser cutting, welding, and metal finishing.",14,https://www.linkedin.com/company/desert-precision-mfg.-inc.,https://www.facebook.com/desertprecision,,,,32.2813796,-111.0164846,Jennifer,Longoria,Office Manager,jennifer@desertprecision.com
Engine Exchange & Machine,5525 S Masterson Ave,Tucson,AZ,85706,United States,(520) 314-0034,https://www.enginemachine.com/,info@enginemachine.com,Unknown,"Auto machine shop, Engine rebuilding service","Engine & Machine, in Tucson, AZ, is the leading name when it comes to engine remanufacturing. Rely on us for Chevy and foreign engine rebuilds.",,,,,,,32.1518723,-110.9216765,,,,
Fx Machine,1656 N 15th Ave,Tucson,AZ,85705,United States,(520) 293-1999,,,,Machine shop,,,,,,,,32.2423364,-110.9819853,,,,
Gary's Machine Shop,1920 E 17th St,Tucson,AZ,85719,United States,(520) 748-7681,,,,Auto machine shop,,,,,,,,32.2131475,-110.9430914,,,,
George's Machine Shop Llc,1017 S Euclid Ave,Tucson,AZ,85719,United States,(520) 882-8108,,,,Machine shop,,,,,,,,32.2088442,-110.9590623,,,,
Hi-tech Machining & Engineering,1075 E Wieding Rd,Tucson,AZ,85706,United States,(520) 889-8325,https://www.hi-techmachining.com/,info@hi-techmachining.com,Valid,Machine shop,"Hi-Tech Machining & Engineering specializes in providing precision CNC machined parts and assemblies for clients in the defense, aerospace, medical, and commercial sectors. The company offers complete contract manufacturing services, including rapid prototyping and on-demand production of parts made from various materials.",14,https://www.linkedin.com/company/hi-tech-machining-&a;-engineering,https://www.facebook.com/hi-tech-machining-683345095062012,https://www.x.com/hitechmachining,,,32.1364138,-110.9548181,Sam,Rook,Owner,sam@hi-techmachining.com
Hussak Motorsports Llc / Hms Engine & Machine,3207 E Columbia St,Tucson,AZ,85714,United States,(520) 573-7000,,,,"Auto machine shop, Engine rebuilding service",,,,,,,,32.1739425,-110.9239501,,,,
Larry's Engine & Marine Inc,600 W Lester St,Tucson,AZ,85705,United States,(520) 623-5373,https://larrysengine.com/,inquiry@larrysengine.com,Valid,Engine rebuilding service,"Larrys Engine & Marine, Inc., has been producing quality high performance and supercharged engines since 1975. Our engines are shipped nationally and internationally for use in sand, land, and water. Engines are custom built for inboard marine performance, marine racing, offshore marine, sand performance and racing, drag strip, circle track, rock crawlers, monster trucks, tractor pull, and as well as collector cars and street performance.",1,https://www.linkedin.com/company/larrys-engine-&-marine-inc,,,,,32.2441406,-110.9810104,Stephanie,Peto,,stephanie.peto@larrysengine.com
Latitude Corp.,949 W Silverlake Rd,Tucson,AZ,85713,United States,(520) 622-2534,https://www.latitudecorp.com/,sales@latitudecorp.com,Valid,Manufacturer,"Latitude is a brand and experience design agency that believes meaningful connections move the world forward. They work with clients to identify their core purpose, and from there, Latitude builds brands, campaigns and experiences that embolden that purpose.",130,https://www.linkedin.com/company/latitude-corp,https://www.facebook.com/latitudechicago,https://www.x.com/latitudecorp,,,32.1990165,-110.9855957,Lisa,Mirek,latitude,lisa@latitudecorp.com
