ï»¿Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Employees,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
A To Z Medical Equipment & Supplies Llc,15060 E Beltwood Pkwy Suite B,Addison,TX,75001,United States,(214) 349-2869,https://atozwheelchairs.com/,orders@atozwheelchairs.com,Valid,"Medical supply store, Scooter rental service, Wheelchair rental service, Wheelchair store","We deliver throughout the Dallas - Fort Worth area, and during delivery our service techs will instruct you on how to use your new equipment. We Are The Dallas-Fort Worth Metroplex Premier Medical Equipment Retailer: Our Dallas Medical Equipment company is the proud winner of a Medicare competitive bid in the Dallas/Fort Worth Metroplex area for mobility products.",<25,https://www.linkedin.com/company/a-to-z-medical-equipment-&-supplies-llc,https://www.facebook.com/atozmed,,,,32.9526903,-96.8317224,,,,
Aabco-ready Rental Sales & Repair,5040 Grisham Dr Suite 103,Rowlett,TX,75088,United States,(972) 412-3500,https://readyrentalmedical.com/,synexus@gmail.com,Valid,Medical supply store,"AABCO - Ready Rental Sales & Repair is a company that operates in the Medical Devices industry. It employs 1-5 people and has $0M-$1M of revenue. The company is headquartered in Rowlett, Texas.",<25,,,,,,32.9055364,-96.5822227,,,,
Adeton Medical Supply Inc,9535 Forest Ln Suite 125 B,Dallas,TX,75243,United States,(214) 792-9009,,,,Medical supply store,,,,,,,,32.9112096,-96.728837,,,,
All In One Medical Supply,2333 W Rochelle Rd,Irving,TX,75062,United States,(817) 868-1700,https://www.ai1ms.com/,info@ai1ms.com,Valid,Medical supply store,"All About Fun Hobbies and Games was founded in Late Aug 2006 with 4 Nitro Cars, 4 starter kits, 4 cans of nitro fuel and a dream. Since then we have gone from a single booth at Traders Village to a full store in Euless. All About Fun Hobbies and Games is family owned and operated.",4,,https://www.facebook.com,https://www.x.com,,,32.8418569,-96.9756171,,,,
Alpha Omega Medical Supply,3016 S Shiloh Rd,Garland,TX,75041,United States,(214) 227-4353,http://alphaomegamedicalsupply.com/,alphaomegamedical@gmail.com,Valid,Medical supply store,Alpha - Omega  Medical Supply,,,https://www.facebook.com,https://www.x.com,https://www.instagram.com,https://www.youtube.com,32.8794637,-96.6651879,,,,
Axis Medical Equipment & Supply,3214 Belt Line Rd Ste. 426,Farmers Branch,TX,75234,United States,(972) 889-2947,https://axismedical.com/,customerservice@axismedical.com,Valid,Medical supply store,"Axis Medical Equipment & Supply, LLC is a full-service medical device and supply provider based in North Texas, established in 2003. The company offers a wide range of medical supplies including hospital beds, mobility aids, wound care supplies, and respiratory equipment, ensuring 98 percent customer satisfaction.",7,https://www.linkedin.com/company/axis-durable-medical-equipment-llc,,,,,32.9524577,-96.8688793,Maria,Jones,Chief Financial Officer,maria.jones@axismedical.com
Beckley Medical Supply,2000 S Beckley Ave,Dallas,TX,75224,United States,(214) 946-6135,https://beckleymedicalsupply.com/,,,Medical supply store,"Searching for Medical Equipements in Dallas? Pay a visit to BeckleyMedical Supply. We have a range of medical equipment and supplies, besides rental and repair services.",,,,,,,32.7237727,-96.8226498,,,,
Bek Medical Inc,9151 Forest Ln,Dallas,TX,75243,United States,(972) 231-1129,https://www.bekmedical.com/,,,Medical supply store,"BEK Medical is a family-owned home medical supply store located in El Paso and Dallas, TX, specializing in a wide range of products including mobility aids, bathroom safety equipment, and therapeutic supplies. With over 20 years of experience, they aim to enhance the comfort and functionality of their clients homes, ensuring safety and accessibility for individuals with diverse needs.",30,https://www.linkedin.com/company/bek-medical-inc.,https://www.facebook.com/BEKMedical,https://x.com/bekmed,https://www.instagram.com/bekmedical,https://www.youtube.com/user/BEKMedical1,32.9095396,-96.7445495,Gabriel,Estrada,Operations Manager,gabriel@bekmedical.com
Biotech Medical Supply,925 N Bryan-belt Line Rd #107,Mesquite,TX,75149,United States,(972) 329-5557,https://www.bio-tech.us/,,,"Medical supply store, Medical equipment supplier",Readable Font,,,,,,,32.7766653,-96.5975217,,,,
Brosco Dba Saltom Medicals,Opp Dallas Regional Hospital & Across Post Office 925 N Bryan-belt Line Rd #105,Mesquite,TX,75149,United States,(972) 329-5555,https://saltommedicals.com/,sales@saltommedicals.com,Valid,"Medical supply store, Baby store, Medical equipment supplier","Saltom medicals has been serving homes, clinics, private practices and hospitals for more than a decade. We strive towards providing quality medical products, promptly delivered to our customers.",6,https://www.linkedin.com,https://www.facebook.com,,https://www.instagram.com,https://www.youtube.com,32.7767401,-96.5977195,,,,
Byram Healthcare,1625 W Mockingbird Ln Suite 308,Dallas,TX,75235,United States,(877) 902-9726,https://www.byramhealthcare.com/contact-us,custserv@byramhealthcare.com,Valid,Medical equipment supplier,"Byram has been a national leader in disposable medical supply delivery since 1968. Byram provides quality supplies, services and support, specializing in diabetes supplies, ostomy supplies, wound care supplies, urology supplies, incontinence supplies and enteral nutrition products.",934,https://www.linkedin.com/company/byram-healthcare,https://www.facebook.com/byramhealthcare,https://x.com/ByramHealthcare,https://www.instagram.com/byramhealthcare,,32.8226892,-96.8573098,Robert,Lande,Director Diabetes Marketing,rlande@byramhealthcare.com
Care First Home Medical,4230 Rosehill Rd Ste 1,Garland,TX,75043,United States,(972) 303-5555,,,,Medical equipment supplier,,,,,,,,32.8627069,-96.6025159,,,,
