ï»¿Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Employees,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
Advanced Medical Equipment,9740 Conant,Hamtramck,MI,48212,United States,(248) 649-3756,,,,Medical equipment supplier,,,,,,,,42.3996538,-83.0504431,,,,
Binson's Medical Equipment And Supplies,5250 Auto Club Dr Suite 130,Dearborn,MI,48126,United States,(888) 246-7667,https://www.binsons.com/,social@binsons.com,Catch-all,"Medical supply store, Medical equipment supplier, Orthotics & prosthetics service","Since 1953, Binson&s;s has been providing the highest quality medical products and services to customers in Michigan and across the country. As a family owned and operated business, Binson&s;s continues to grow and be an industry leader for health and wellness.",566,https://www.linkedin.com/company/binson's-home-health-care,https://www.facebook.com/BinsonsMedicalSupplies,https://www.binsonsrx.com,https://www.instagram.com/binsonsmedicalequipment,https://www.youtube.com/user/Binsons1953,42.3269613,-83.2201177,John,"Roberts-Kinyon, CO",,john@binsons.com
Cardinal Health,6000 Rosa Parks Blvd,Detroit,MI,48208,United States,(313) 873-4270,https://www.cardinalhealth.com/en.html,customerservice@cardinalhealth.com,Valid,Medical equipment supplier,"Cardinal Health, Inc. operates as an integrated healthcare services and products company worldwide. The companys Pharmaceutical segment distributes branded and generic pharmaceutical, specialty pharmaceutical, over-the-counter healthcare, and consumer products to retailers, hospitals, and other healthcare providers.","53,084",https://www.linkedin.com/company/cardinal-health,https://www.facebook.com/cardinalhealthinc,,,,42.359421,-83.087494,Gilles,Theriault,President,gilles.theriault@cardinalhealth.com
Challenge Packaging Co,13249 Leonard St,Dearborn,MI,48126,United States,(313) 943-4459,,,,Medical supply store,,,,,,,,42.316681,-83.1731241,,,,
Delta Medical Equipment,13530 Michigan Ave Suite 270 2nd Floor,Dearborn,MI,48126,United States,(313) 395-2860,https://www.deltadme.com/,,,"Medical supply store, Diabetes equipment supplier, Hospital equipment and supplies, Medical Center, Medical equipment supplier, Mobility equipment supplier, Orthopedic supplies store",Verifying your connection...,,,,,,,42.3228412,-83.1751225,,,,
E C Moore Co,13325 Leonard St,Dearborn,MI,48126,United States,(313) 581-7878,http://www.ecmoore.com/,customerservice@ecmoore.com,Catch-all,Medical supply store,"E.C. Moore: producing quality abrasives since 1898. Dental supplies and abrasive discs, rotary abrasives, snap on discs, grinding, polishing, and finishing tools for dental professionals, hobbyists, crafters, and jewelers. Inventors of the snap on brass center disc.",1,https://www.linkedin.com/company/e.c.-moore-company,,,,,42.3165399,-83.1737687,Melissa,Aho,Shipping and Receiving Manager,aho@ecmoore.com
"First Choice Medical Equipment,llc",7338 Jonathon St,Dearborn,MI,48126,United States,,,,,Medical equipment supplier,,,,,,,,42.3457336,-83.1728626,,,,
Green Medical Supply Llc,7954 Schaefer Rd,Dearborn,MI,48126,United States,(313) 982-7097,https://greenmedicalsupplyllc.com/,,,"Medical supply store, Medical equipment supplier","Green Medical Supply LLC delivers medical equipment and healthcare supplies in Michigan. Fast delivery, expert support, and quality products.",,,,,https://www.instagram.com/greenmedicalsupply,,42.3510645,-83.1767445,,,,
Hart Medical Equipment,19401 Hubbard Dr,Dearborn,MI,48126,United States,(313) 778-7055,https://hartmedical.org/,info@hartmedical.org,Catch-all,Medical supply store,"Hart Medical Equipment is a leading provider of home medical products and supplies, including respiratory equipment, mobility aids, and patient care items. With a vast selection of thousands of items, they cater to individuals in need of medical equipment and support services across Michigan and Northwest Ohio.",401,https://www.linkedin.com/company/hart-medical-equipment,https://www.facebook.com/HartMedical,https://x.com/hart_medical,https://www.instagram.com/hartmedicalequipment,,42.319919,-83.227987,Mary,Browne,"Director, Talent Selection",mbrowne@hartmedical.org
Hart Medical Equipment,2799 W Grand Blvd E-112,Detroit,MI,48202,United States,(313) 264-6003,https://hartmedical.org/,info@hartmedical.org,Catch-all,Medical supply store,"Hart Medical Equipment is a leading provider of home medical products and supplies, including respiratory equipment, mobility aids, and patient care items. With a vast selection of thousands of items, they cater to individuals in need of medical equipment and support services across Michigan and Northwest Ohio.",401,https://www.linkedin.com/company/hart-medical-equipment,https://www.facebook.com/HartMedical,https://x.com/hart_medical,https://www.instagram.com/hartmedicalequipment,,42.3677154,-83.0844695,Mary,Browne,"Director, Talent Selection",mbrowne@hartmedical.org
Healthy Living Medical Supply,1401 Vermont St Suite 110,Detroit,MI,48216,United States,(313) 635-4470,https://adapthealth.com/company-hlms/,customerservice@adapthealth.com,Valid,Medical supply store,"AdaptHealth was founded in 2012. This company provides the manufacturing and retailing of home health care equipment and supplies. Their headquarters are located in Plymouth Meeting, Pennsylvania.","10,900",https://www.linkedin.com/company/adapthealth,https://www.facebook.com/adapthealthllc,https://portal.snapworx.com/Account/SignIn,https://www.instagram.com/adapthealthco,,42.3254265,-83.0706584,Scott,Barnhart,,scott@adapthealth.com
Lapromanendoserv,8930 Brandt St,Dearborn,MI,48126,United States,(313) 583-3333,https://www.lapromanendoserv.com/,sales@lapromanendoserv.com,Valid,Medical supply store,"Laproman Endoserv LLC specializes in the repair and sale of flexible and rigid endoscopic equipment, providing high-quality repairs with a focus on fast turnaround and customer satisfaction. Their services cover a comprehensive range of endoscope types, including but not limited to arthroscopes, laparoscopes, and cystoscopes, as well as supplementary surgical equipment.",23,,https://www.facebook.com/lapromanendoserv1,https://www.x.com/htmlcoderme,,,42.3391813,-83.1561293,Abe,Kanan,"Manager, Operations",abe@lapromanendoserv.com
Medical Equipment Technology Intl,7146 Michigan Ave 2nd Floor,Detroit,MI,48210,United States,(313) 410-1615,https://medicalequip.tech/,,,Medical equipment supplier,Home - MET Intl,,,,,,,42.3313079,-83.1328776,,,,
Medical Supply Corporation,1421 Eight Mile W,Ferndale,MI,48220,United States,(248) 547-8100,http://www.medsupcorp.com/,,,Medical supply store,"Medical Supply Corporation is a private, family-owned company that has been serving the Detroit area and Southeast Michigan for over 85 years. They are a full-line distributor and authorized dealer for all major brands of physician office equipment, offering a wide range of medical supplies with next-day delivery.",19,,,,,,42.4473774,-83.1110741,,,,
New Image Home Medical Equipment,9725 Conant,Hamtramck,MI,48212,United States,(313) 285-9375,,,,Medical equipment supplier,,,,,,,,42.3994293,-83.050896,,,,
Patrize Microscope Llc,2600 Cochrane St,Detroit,MI,48216,United States,(313) 963-7422,https://www.patrizemicroscope.com/,g.patrize@patrizemicroscope.com,Unknown,Medical equipment supplier,Patrize Microscope | Home,,,,,,,42.3352377,-83.0712406,Gary,Patrize,President,g.patrize@patrizemicroscope.com
Redwood Medical Equipment,14716 W Warren Ave Suite 100,Dearborn,MI,48126,United States,(313) 732-3502,,,,"Medical supply store, Medical equipment supplier",,,,,,,,42.3439882,-83.188218,,,,
Solara Medical Supplies Llc,1401 Vermont St Ste 115,Detroit,MI,48216,United States,(888) 568-8145,https://adapthealth.com/company-solara/,customerservice@adapthealth.com,Valid,Medical supply store,"AdaptHealth was founded in 2012. This company provides the manufacturing and retailing of home health care equipment and supplies. Their headquarters are located in Plymouth Meeting, Pennsylvania.","10,900",https://www.linkedin.com/company/adapthealth,https://www.facebook.com/adapthealthllc,https://portal.snapworx.com/Account/SignIn,https://www.instagram.com/adapthealthco,,42.3254265,-83.0706584,,,,
Taylor Optical Supplies,28 W Adams Ave # 1005,Detroit,MI,48226,United States,(313) 962-6595,,,,Medical supply store,,,,,,,,42.3368532,-83.0516805,,,,
Triple M Medical,5111 Auto Club Dr Ste 102,Dearborn,MI,48126,United States,(810) 213-8089,,,,Medical supply store,,,,,,,,42.3243028,-83.2213161,,,,
Warriors Pharmacy And Medical Supplies,5265 Anthony Wayne Dr,Detroit,MI,48202,United States,(313) 774-0520,https://warriorspharmacy.com/,warriorspharmacy@outlook.com,Catch-all,"Medical equipment supplier, Drug store, Pharmacy, School supply store, Store","Warriors Pharmacy is a full-service independent pharmacy located in Detroit, MI, offering a diverse range of services including conventional prescription filling, compounding for pets, and a Diabetes Specialized Care Center. The pharmacy prioritizes family health and provides additional services such as immunizations, medication therapy management, and durable medical equipment.",11,https://www.linkedin.com/company/warriors-pharmacy,https://www.facebook.com/Warriors-Pharmacy-640094533300604,,,,42.3574572,-83.0732578,,,,
Wright & Filippis - Detroit Medical Center,4201 St. Antoine St,Detroit,MI,48201,United States,(313) 832-5020,https://www.firsttoserve.com/,,,"Orthotics & prosthetics service, Medical clinic","Since 1944, Wright & Filippis has built a well-earned reputation as a leader in prosthetics, orthotics, custom mobility products and accessibility solutions. We are over 70 years strong, and now more than ever we are reminded of our ongoing commitment to improve the lives of our patients by helping them get back to their normal day by being First to Serve, First to Care.",254,https://www.linkedin.com/in/wright-filippis-b3b173144,https://www.facebook.com/WrightFilippis,,https://www.instagram.com/filippiswright,https://www.youtube.com/channel/UCVArsjXDBPZ3w5OOtHdnTew,42.3535241,-83.0554323,Rebecca,Spragg,,rebecca.s@wright-filippis.com
Dmc Orthopedics & Sports Medicine - Heart Hospital,311 Mack Ave,Detroit,MI,48201,United States,(313) 832-0500,https://www.dmc.org/services/orthopedics,office@dmc.org,Catch-all,Health & medical,"Founded in 1886, Detroit Medical Center is a regional health care system that provides clinical care, research and medical education. They are based in Detroit, Michigan.","12,000",https://www.linkedin.com/company/detroitmedicalcenter,https://www.facebook.com/dmcheals,https://www.x.com/dmc_heals,,,42.3499565,-83.0548553,Brian,Taylor,Director of Communications and Media Relations,btaylor@dmc.org
Elated Medical Supplies,24350 Joy Rd,Redford,MI,48239,United States,(800) 390-2965,https://elatedmedical.com/,info@elatedmedical.com,Valid,Health & medical,"Shop Durable Mobility Equipment at Elated Medical Supplies. Get the best products at the lowest prices, guaranteed.",,https://www.linkedin.com/in/elated-medical-supplies-6b8799362,https://facebook.com,,https://www.instagram.com/elated.medical,https://youtube.com,42.3570862,-83.2780762,,,,
Eloquest Healthcare,780 W 8 Mile Rd,Ferndale,MI,48220,United States,(248) 548-0900,https://www.eloquesthealthcare.com/,information@eloquesthealthcare.com,Catch-all,Pharmaceutical companies,"We care about the care you deliver. Thatâs why we are committed to reducing hospital acquired infections and increasing patient satisfaction.
As the hospital subsidiary of the Ferndale Pharma Group who has been in the health caring business for over a 100 years, providing quality products isnât just a job, itâs personal.",40,https://www.linkedin.com/company/1811265,https://www.facebook.com/EloquestHealthcareInc,https://x.com/Eloquest,,https://www.youtube.com/channel/UC-BRL7ochpBN4jqYRBKgMfw,42.4468384,-83.1369858,Kevin,Owens,Regional Idn Manager at Eloquest Healthcare,kowens@eloquesthealthcare.com
Foster Family Medical Equipment,20101 Greenfield Rd,Detroit,MI,48235,United States,(313) 837-0071,,,,Health & medical,,,,,,,,42.4401016,-83.2006836,,,,
